,group,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
312,Los Pelambres,13,27,3.2,12.8,2.2,0.8,1.7,0.2,1.2,0.2,0.5,0.1,0.7,0.1
313,Los Pelambres,20,40.5,4.7,17.8,3,0.8,2.3,0.3,1.2,0.2,0.7,0.1,0.6,0.1
314,Los Pelambres,17.9,34.9,3.8,15.2,2.1,0.5,1.2,0.1,0.6,0.1,0.3,0.05,0.3,0.1
315,Los Pelambres,17.1,34.8,3.8,15.3,2.3,0.7,1.4,0.2,0.8,0.2,0.4,0.1,0.4,0.1
316,Los Pelambres,20.1,40.3,4.6,19.3,3.1,0.9,2.2,0.3,1.5,0.3,0.7,0.1,0.7,0.1
317,Los Pelambres,22.3,43.2,4.8,19.3,2.8,0.8,1.8,0.2,1.1,0.2,0.5,0.1,0.5,0.1
318,Los Pelambres,19.9,39.5,4.7,19,2.7,0.8,1.8,0.2,1.1,0.2,0.5,0.1,0.5,0.1
319,Los Pelambres,31.1,63.1,7,28.4,3.8,0.9,2.2,0.3,1.2,0.2,0.5,0.1,0.4,0.1
320,Los Pelambres,19,37.6,4.1,16.4,2.2,0.7,1.4,0.2,0.9,0.2,0.4,0.1,0.4,0.1
321,Rio Blanco,21.1,38.1,NA,18.2,3.56,0.94,NA,0.38,NA,NA,NA,NA,1.45,0.22
322,Rio Blanco,16.8,35.1,NA,18.4,3.44,0.73,NA,NA,NA,0.6,NA,NA,1.2,0.17
323,Rio Blanco,20.7,46.7,NA,23,4.33,1,NA,NA,NA,0.8,NA,NA,1.5,0.2
324,Rio Blanco,17.1,31.1,NA,16.4,2.52,0.67,NA,0.28,NA,NA,NA,NA,1.08,0.14
325,Rio Blanco,12.3,26.1,NA,13.4,2.25,0.48,NA,0.24,NA,NA,NA,NA,0.45,0.05
326,Rio Blanco,13.3,28.6,NA,13,2.2,0.58,NA,0.25,NA,NA,NA,NA,0.59,0.09
327,Rio Blanco,14.2,28.6,NA,18.7,3.53,0.92,NA,0.31,NA,NA,NA,NA,1.85,0.29
328,Rio Blanco,15,27.9,NA,20.8,4.06,1.05,NA,0.37,NA,NA,NA,NA,1.43,0.11
329,Rio Blanco,12,20.6,NA,7.7,1.18,0.42,NA,0.12,NA,NA,NA,NA,0.48,0.05
330,Rio Blanco,10.12,20.75,2.33,7.67,1.7,0.51,1.16,0.18,0.84,0.17,0.42,NA,0.45,0.07
331,Rio Blanco,10,20.72,2.42,7.92,1.71,0.45,1.16,0.16,0.78,0.15,0.41,NA,0.4,0.07
332,Rio Blanco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,Rio Blanco,5.91,10.8,1.1,4.1,0.66,0.238,0.46,0.06,0.29,0.06,0.2,0.032,0.26,0.047
334,Rio Blanco,5.53,11.5,1.25,4.76,0.72,0.222,0.5,0.06,0.26,0.06,0.17,0.029,0.21,0.041
335,Rio Blanco,10.2,17.5,2,7.92,1.15,0.281,0.66,0.08,0.44,0.09,0.28,0.046,0.32,0.053
336,Rio Blanco,9.4,18.2,2.26,8.71,1.48,0.39,1,0.12,0.6,0.11,0.32,0.046,0.31,0.048
337,Rio Blanco,12,22.1,2.68,11,1.83,0.45,1.05,0.14,0.7,0.12,0.37,0.056,0.36,0.052
338,Rio Blanco,17.9,33.3,3.6,13.3,2.01,0.591,1.21,0.14,0.63,0.1,0.3,0.04,0.31,0.045
339,Rio Blanco,14.5,25.9,2.87,12.1,2,0.524,0.93,0.12,0.63,0.11,0.32,0.051,0.34,0.05
340,Rio Blanco,11.3,22.1,2.13,6.72,1.49,0.386,0.95,0.11,0.51,0.09,0.25,0.04,0.27,0.042
341,Rio Blanco,13.4,23.9,2.44,8.59,1.23,0.32,0.8,0.09,0.42,0.08,0.28,0.043,0.35,0.055
342,Rio Blanco,10.7,21.2,2.36,8.67,1.54,0.432,1.15,0.16,0.76,0.15,0.4,0.061,0.43,0.059
343,Rio Blanco,5.85,12.3,1.3,4.42,0.68,0.5,0.5,0.06,0.31,0.06,0.18,0.025,0.24,0.043
344,Rio Blanco,18.1,35.5,4.03,15.2,2.72,0.74,2.01,0.29,1.48,0.27,0.75,0.115,0.77,0.113
345,Rio Blanco,15.1,33.1,3.73,13.6,2.33,0.7,1.79,0.25,1.2,0.24,0.67,0.094,0.65,0.098
346,Rio Blanco,13.5,28.5,3.35,13,2.47,0.708,2,0.28,1.43,0.28,0.73,0.114,0.76,0.114
347,Rio Blanco,21.3,43.6,5.02,19.2,3.46,0.83,2.68,0.36,1.84,0.32,0.87,0.124,0.85,0.128
348,Rio Blanco,19,36.6,4.13,16.1,2.97,0.832,1.83,0.25,1.44,0.27,0.74,0.109,0.73,0.116
349,Rio Blanco,13.7,27.8,3.74,17.8,3.63,1.01,2.42,0.34,1.71,0.27,0.73,0.1,0.62,0.091
350,Quellaveco,7,13.8,1.64,7.2,1.44,0.56,1.03,0.17,0.65,0.1,0.26,0.04,0.24,0.05
351,Quellaveco,12.4,26.2,2.9,10.7,1.79,0.63,1.23,0.2,0.85,0.14,0.41,0.07,0.44,0.08
352,Quellaveco,22.8,46.2,5.08,18.6,2.95,0.98,2.21,0.4,1.64,0.32,0.88,0.15,0.86,0.15
353,Quellaveco,3,5,0.53,2.1,0.4,0.22,0.46,0.1,0.44,0.1,0.32,0.05,0.39,0.08
354,Quellaveco,6.3,12.5,1.49,5.5,0.97,0.21,0.7,0.12,0.54,0.1,0.34,0.06,0.4,0.07
355,Quellaveco,40.5,75.7,8.03,25.3,3.82,0.93,2.14,0.36,1.35,0.24,0.67,0.12,0.66,0.1
356,Quellaveco,15.7,32.3,3.64,13.1,2.16,0.73,1.42,0.29,1.15,0.22,0.56,0.11,0.58,0.11
357,Quellaveco,5.3,10.1,1.2,5,1,0.38,0.6,0.1,0.42,0.07,0.19,0.04,0.3,0.06
358,Quellaveco,17.3,35.4,3.98,15.3,2.65,0.75,2.01,0.24,1.29,0.2,0.64,0.07,0.66,0.07
359,Quellaveco,17.4,35.2,3.92,14.8,2.57,0.73,1.93,0.22,1.19,0.2,0.6,0.07,0.62,0.07
360,Quellaveco,17.4,37,4.33,15,2.67,0.74,1.65,0.28,1.22,0.22,0.6,0.1,0.64,0.11
361,Quellaveco,18.3,36.7,4.33,16.6,2.75,0.7,2.1,0.26,1.3,0.23,0.68,0.1,0.74,0.11
362,Quellaveco,17.2,34.4,4.01,16.1,2.62,0.71,1.98,0.25,1.26,0.23,0.67,0.1,0.68,0.11
363,Quellaveco,21,44.3,5.14,21.2,4.31,1.15,3.78,0.67,3.19,0.54,1.58,0.21,1.32,0.2
364,Quellaveco,19.8,42.8,5.19,20.5,3.62,0.99,2.52,0.43,1.84,0.29,0.82,0.12,0.81,0.14
365,Quellaveco,14.7,28.1,3.04,11.3,1.62,0.43,0.82,0.12,0.45,0.07,0.23,0.04,0.31,0.06
366,Quellaveco,14,27,2.98,10.9,1.72,0.53,1,0.15,0.64,0.11,0.29,0.05,0.35,0.07
367,Quellaveco,16.4,33.4,3.83,13.5,2.29,0.78,1.63,0.25,1.2,0.23,0.59,0.09,0.55,0.1
368,Quellaveco,17.1,34.8,3.97,16,2.72,0.75,2.04,0.24,1.37,0.22,0.67,0.08,0.68,0.09
369,Quellaveco,14.7,30.4,3.47,13.3,2.19,0.67,1.58,0.25,1.15,0.19,0.56,0.1,0.58,0.1
